,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
811,BALUSDT,JASMYUSDT,0.02,-3.62,-3.37,615.64,58
508,ANTUSDT,ADAUSDT,0.03,-3.57,-3.37,3.88,55
190,ENJUSDT,FTMUSDT,0.0,-5.48,-3.37,1.85,46
803,BALUSDT,FTTUSDT,0.0,-4.88,-3.37,0.2,45
647,API3USDT,BNBUSDT,0.0,-4.47,-3.37,0.01,43
913,DARUSDT,REQUSDT,0.0,-4.42,-3.37,2.54,42
73,XTZUSDT,ASTRUSDT,0.03,-3.59,-3.37,37.41,41
429,LRCUSDT,LINKUSDT,0.0,-5.2,-3.37,0.06,41
784,1000XECUSDT,REEFUSDT,0.01,-3.77,-3.37,10.35,41
187,CRVUSDT,SCRTUSDT,0.04,-3.38,-3.37,1.24,41
341,GALAUSDT,SCUSDT,0.0,-4.67,-3.37,12.91,40
64,XTZUSDT,MANAUSDT,0.03,-3.52,-3.37,1.78,40
786,ACHUSDT,UNIUSDT,0.02,-3.7,-3.37,0.0,40
372,CELRUSDT,BNBUSDT,0.03,-3.59,-3.37,0.0,39
510,ANTUSDT,DOGEUSDT,0.02,-3.62,-3.37,29.21,39
735,BAKEUSDT,ICXUSDT,0.0,-4.77,-3.37,1.07,39
430,LRCUSDT,AXSUSDT,0.02,-3.69,-3.37,0.02,39
662,APEUSDT,STXUSDT,0.03,-3.56,-3.37,15.36,39
44,XRPUSDT,ILVUSDT,0.02,-3.65,-3.37,0.0,39
97,XEMUSDT,DODOUSDT,0.01,-3.87,-3.37,0.29,39
193,ENJUSDT,SKLUSDT,0.0,-4.34,-3.37,10.55,39
87,XEMUSDT,AUDIOUSDT,0.03,-3.53,-3.37,0.14,39
91,XEMUSDT,CELOUSDT,0.01,-3.77,-3.37,0.05,39
177,SANDUSDT,KNCUSDT,0.03,-3.54,-3.37,0.84,38
89,XEMUSDT,RSRUSDT,0.02,-3.59,-3.37,7.35,38
163,SANDUSDT,DOGEUSDT,0.01,-4.09,-3.37,19.17,38
693,ZRXUSDT,STORJUSDT,0.0,-4.93,-3.37,0.52,38
479,REQUSDT,ETHUSDT,0.0,-4.34,-3.37,0.0,38
